symbol,narrativa,date,open,high,low,close,volume
RNDR,Inteligencia Artificial,2023-01-09,0.4348,0.4574,0.4279,0.4479,871574.75
RNDR,Inteligencia Artificial,2023-01-10,0.4479,0.4687,0.4353,0.4527,597576.51
RNDR,Inteligencia Artificial,2023-01-11,0.4527,0.4594,0.4351,0.4527,623306.28
RNDR,Inteligencia Artificial,2023-01-12,0.4527,0.479,0.4368,0.4558,1597190.02
RNDR,Inteligencia Artificial,2023-01-13,0.4558,0.5507,0.4548,0.5428,2869325.47
RNDR,Inteligencia Artificial,2023-01-14,0.5428,0.6026,0.5184,0.5592,2263023.93
RNDR,Inteligencia Artificial,2023-01-15,0.5592,0.6002,0.5131,0.5725,1782297.53
RNDR,Inteligencia Artificial,2023-01-16,0.5725,0.6502,0.561,0.614,2093709.66
RNDR,Inteligencia Artificial,2023-01-17,0.614,0.6144,0.5746,0.5759,1775030.96
RNDR,Inteligencia Artificial,2023-01-18,0.5759,0.6046,0.5227,0.5377,2148731.63
RNDR,Inteligencia Artificial,2023-01-19,0.5377,0.5744,0.5277,0.5681,947994.44
RNDR,Inteligencia Artificial,2023-01-20,0.5681,0.7453,0.5585,0.6991,3573496.06
RNDR,Inteligencia Artificial,2023-01-21,0.6991,0.7392,0.6678,0.6678,2472301.04
RNDR,Inteligencia Artificial,2023-01-22,0.6678,0.7116,0.6498,0.6914,1395529.5
RNDR,Inteligencia Artificial,2023-01-23,0.6914,0.8898,0.6823,0.8554,5171183.09
RNDR,Inteligencia Artificial,2023-01-24,0.8554,0.918,0.7629,0.7725,3264579.73
RNDR,Inteligencia Artificial,2023-01-25,0.7725,0.939,0.7667,0.8666,4489035.31
RNDR,Inteligencia Artificial,2023-01-26,0.8666,0.9339,0.8532,0.8838,3333875.58
RNDR,Inteligencia Artificial,2023-01-27,0.8838,0.8978,0.8088,0.867,2253025.89
RNDR,Inteligencia Artificial,2023-01-28,0.867,1.365,0.8581,1.192,11422166.57
RNDR,Inteligencia Artificial,2023-01-29,1.192,1.435,1.147,1.28,13297331.34
RNDR,Inteligencia Artificial,2023-01-30,1.28,1.327,1.146,1.208,6821517.26
RNDR,Inteligencia Artificial,2023-01-31,1.208,1.496,1.165,1.408,12195556.16
RNDR,Inteligencia Artificial,2023-02-01,1.408,1.685,1.334,1.526,15051075.05
RNDR,Inteligencia Artificial,2023-02-02,1.526,1.788,1.504,1.716,12677057.48
RNDR,Inteligencia Artificial,2023-02-03,1.716,1.74,1.532,1.692,11586732.13
RNDR,Inteligencia Artificial,2023-02-04,1.692,1.761,1.633,1.671,5632164.15
RNDR,Inteligencia Artificial,2023-02-05,1.671,1.868,1.634,1.759,10996276.23
RNDR,Inteligencia Artificial,2023-02-06,1.759,2.007,1.732,1.87,13616255.07
RNDR,Inteligencia Artificial,2023-02-07,1.87,2.194,1.822,2.135,19416974.92
RNDR,Inteligencia Artificial,2023-02-08,2.135,2.149,1.604,1.76,24054317.22
RNDR,Inteligencia Artificial,2023-02-09,1.76,1.793,1.281,1.373,23402095.47
RNDR,Inteligencia Artificial,2023-02-10,1.373,1.542,1.318,1.486,15495314.48
RNDR,Inteligencia Artificial,2023-02-11,1.486,1.486,1.352,1.448,4214583.51
RNDR,Inteligencia Artificial,2023-02-12,1.448,1.714,1.395,1.546,13559876.05
RNDR,Inteligencia Artificial,2023-02-13,1.546,1.661,1.391,1.5,16326428.31
RNDR,Inteligencia Artificial,2023-02-14,1.5,1.777,1.449,1.719,15328112.88
RNDR,Inteligencia Artificial,2023-02-15,1.719,2.092,1.687,1.999,17983959.7
RNDR,Inteligencia Artificial,2023-02-16,1.999,2.137,1.692,1.77,20343487.11
RNDR,Inteligencia Artificial,2023-02-17,1.77,1.993,1.74,1.858,13168181.7
RNDR,Inteligencia Artificial,2023-02-18,1.858,1.934,1.785,1.851,6998378.2
RNDR,Inteligencia Artificial,2023-02-19,1.851,1.866,1.693,1.719,5453473.87
